country,state,city,lng,lat
Argentina,Buenos Aires,San Vicente,-58.4228,-35.0250
Argentina,Chaco,Villa Berthet,-60.4126,-27.2917
Argentina,Buenos Aires,Verónica,-57.3369,-35.3880
Argentina,Buenos Aires,San Miguel del Monte,-58.8067,-35.4396
Argentina,Buenos Aires,Carmen de Areco,-59.8239,-34.3774
Argentina,Buenos Aires,Cañuelas,-58.7606,-35.0518
Argentina,Santiago del Estero,Termas de Río Hondo,-64.8604,-27.4998
Argentina,Catamarca,La Puerta,-65.7901,-28.1704
Argentina,Buenos Aires,San Carlos de Bolívar,-61.1000,-36.2500
Argentina,Buenos Aires,San Cayetano,-59.6095,-38.3465
Argentina,Buenos Aires,Pinamar,-56.8614,-37.1079
Argentina,Córdoba,San Agustín,-64.3740,-31.9768
Argentina,Jujuy,Tilcara,-65.3509,-23.5776
Argentina,La Pampa,Quemú Quemú,-63.5643,-36.0546
Argentina,Mendoza,Santa Rosa,-68.1494,-33.2541
Argentina,Santiago del Estero,Sumampa,-63.4691,-29.3847
Argentina,Neuquén,Aluminé,-70.9197,-39.2369
Argentina,Santiago del Estero,Nueva Esperanza,-64.2401,-26.1999
Argentina,La Pampa,Cuchillo Có,-64.6433,-38.3335
Argentina,Corrientes,Santo Tomé,-56.0408,-28.5494
Argentina,Neuquén,Junín de los Andes,-71.0694,-39.9504
Argentina,San Juan,Villa Aberastain,-68.5833,-31.6500
Argentina,Salta,Molinos,-66.2913,-25.4395
Argentina,Santiago del Estero,Villa Ojo de Agua,-63.6938,-29.5000
Argentina,Santiago del Estero,Suncho Corral,-63.4294,-27.9336
Argentina,Neuquén,Picún Leufú,-69.2797,-39.5235
Argentina,Buenos Aires,San Nicolás de los Arroyos,-60.2252,-33.3358
Argentina,Catamarca,San José,-65.7000,-28.3833
Argentina,Salta,Chicoana,-65.5331,-25.1009
Argentina,Buenos Aires,Ranchos,-58.3173,-35.5162
Argentina,San Juan,Caucete,-68.2811,-31.6518
Argentina,Buenos Aires,José María Ezeiza,-58.5287,-34.8479
Argentina,Corrientes,Empedrado,-58.8054,-27.9512
Argentina,Neuquén,Loncopué,-70.6161,-38.0728
Argentina,La Pampa,General Acha,-64.6043,-37.3770
Argentina,Tucumán,Concepción,-65.5973,-27.3428
Argentina,Corrientes,Concepción,-57.8878,-28.3917
Argentina,La Rioja,Vinchina,-68.2069,-28.7596
Argentina,Chubut,Gaimán,-65.4929,-43.2897
Argentina,San Luis,Santa Rosa del Conlara,-65.2032,-32.3429
Argentina,Buenos Aires,San Antonio de Areco,-59.4716,-34.2503
Argentina,Buenos Aires,Guaminí,-62.4167,-37.0333
Argentina,Buenos Aires,Florencio Varela,-58.3956,-34.8272
Argentina,La Rioja,Milagro,-66.0010,-31.0033
Argentina,Tucumán,Burruyacú,-64.7421,-26.4992
Argentina,Buenos Aires,San Pedro,-59.6666,-33.6791
Argentina,Entre Ríos,Diamante,-60.6384,-32.0664
Argentina,Corrientes,Saladas,-58.6259,-28.2538
Argentina,San Juan,Villa Media Agua,-68.4239,-31.9827
Argentina,Chubut,José de San Martín,-70.4697,-44.0503
Argentina,Buenos Aires,Salliqueló,-62.9605,-36.7522
Argentina,Córdoba,Salsacate,-65.0853,-31.3165
Argentina,La Pampa,Guatraché,-63.5302,-37.6678
Argentina,Neuquén,Piedra del Águila,-70.0741,-40.0481
Argentina,Corrientes,Santa Lucía,-59.1029,-28.9875
Argentina,San Juan,Santa Lucía,-68.4950,-31.5399
Argentina,Corrientes,Curuzú Cuatiá,-58.0546,-29.7917
Argentina,Buenos Aires,San Andrés de Giles,-59.4445,-34.4472
Argentina,La Rioja,Malanzán,-66.6091,-30.8039
Argentina,La Rioja,Tama,-66.5298,-30.5080
Argentina,Buenos Aires,Tapalqué,-60.0264,-36.3549
Argentina,Buenos Aires,San Fernando,-58.5576,-34.4438
Argentina,Santiago del Estero,La Banda,-64.2428,-27.7335
Argentina,Jujuy,San Antonio,-65.3347,-24.3675
Argentina,Corrientes,Nuestra Señora del Rosario de Caa Catí,-57.6207,-27.7507
Argentina,San Juan,Villa Krause,-68.5333,-31.5667
Argentina,Neuquén,Villa La Angostura,-71.6615,-40.7797
Argentina,Misiones,San Javier,-55.1351,-27.8743
Argentina,Santa Fe,San Javier,-59.9317,-30.5778
Argentina,Buenos Aires,Quilmes,-58.2637,-34.7290
Argentina,La Pampa,Catriló,-63.4217,-36.4060
Argentina,Chaco,Las Breñas,-61.0816,-27.0897
Argentina,Buenos Aires,Carlos Tejedor,-62.4215,-35.3927
Argentina,Santa Fe,San Lorenzo,-60.7361,-32.7434
Argentina,La Rioja,Ulapes,-66.2365,-31.5736
Argentina,Buenos Aires,Coronel Vidal,-57.7287,-37.4460
Argentina,San Juan,Tamberías,-69.4255,-31.4665
Argentina,Santiago del Estero,Los Telares,-63.4489,-28.9848
Argentina,Salta,Rosario de Lerma,-65.5789,-24.9821
Argentina,Salta,Rosario de la Frontera,-64.9709,-25.7969
Argentina,Buenos Aires,Médanos,-62.6936,-38.8280
Argentina,Buenos Aires,Pehuajó,-61.8968,-35.8108
Argentina,Buenos Aires,Los Polvorines,-58.6939,-34.5013
Argentina,Río Negro,Valcheta,-66.1500,-40.7000
Argentina,Santiago del Estero,Arraga,-64.2225,-28.0498
Argentina,Chubut,Camarones,-65.7099,-44.7971
Argentina,Catamarca,San Fernando del Valle de Catamarca,-65.7852,-28.4696
Argentina,Salta,La Viña,-65.5663,-25.4664
Argentina,Misiones,Eldorado,-54.6248,-26.4048
Argentina,Córdoba,La Carlota,-63.2977,-33.4199
Argentina,Santa Fe,Coronda,-60.9198,-31.9726
Argentina,Buenos Aires,Ituzaingó,-58.6632,-34.6580
Argentina,Corrientes,Ituzaingó,-56.6823,-27.5816
Argentina,La Pampa,Eduardo Castex,-64.2945,-35.9150
Argentina,Entre Ríos,Colón,-58.1434,-32.2234
Argentina,Buenos Aires,Colón,-61.1011,-33.8951
Argentina,San Juan,San José de Jáchal,-68.7469,-30.2406
Argentina,Entre Ríos,San José de Feliciano,-58.7517,-30.3845
Argentina,Misiones,Montecarlo,-54.7570,-26.5662
Argentina,Entre Ríos,San Salvador,-58.5052,-31.6249
Argentina,Chubut,Tecka,-70.8102,-43.4949
Argentina,Corrientes,Mburucuyá,-58.2245,-28.0454
Argentina,Río Negro,Maquinchao,-68.7333,-41.2500
Argentina,San Luis,Libertador General San Martín,-65.6759,-32.4107
Argentina,Córdoba,Dolores,-64.5358,-30.9060
Argentina,Buenos Aires,Coronel Dorrego,-61.2873,-38.7187
Argentina,Mendoza,Maipú,-68.7846,-32.9796
Argentina,Buenos Aires,Maipú,-57.8809,-36.8627
Argentina,Formosa,Espinillo,-58.5521,-24.9813
Argentina,Neuquén,El Huecú,-70.5801,-37.6452
Argentina,Chubut,Leleque,-71.0680,-42.4122
Argentina,Santa Fe,Esperanza,-60.9317,-31.4488
Argentina,La Rioja,Aminga,-66.9455,-28.8426
Argentina,La Rioja,San Blas de los Sauces,-67.0934,-28.4105
Argentina,Córdoba,Villa de María,-63.7229,-29.9020
Argentina,Chubut,Paso de Indios,-69.0460,-43.8623
Argentina,Neuquén,Las Coloradas,-70.5949,-39.5553
Argentina,Buenos Aires,Ayacucho,-58.4869,-37.1519
Argentina,Santa Cruz,Puerto Santa Cruz,-68.5232,-50.0191
Argentina,Río Negro,El Cuy,-68.3421,-39.9269
Argentina,Entre Ríos,Villa Paranacito,-58.6580,-33.7221
Argentina,Buenos Aires,Tigre,-58.5876,-34.4204
Argentina,Salta,Santa Victoria,-64.9667,-22.2500
Argentina,Buenos Aires,José C. Paz,-58.7481,-34.5187
Argentina,Buenos Aires,Puan,-62.7672,-37.5458
Argentina,Buenos Aires,Caseros,-58.5641,-34.6033
Argentina,Corrientes,San Luis del Palmar,-58.5545,-27.5079
Argentina,Río Negro,Ñorquinco,-70.9017,-41.8507
Argentina,Entre Ríos,Villaguay,-59.0269,-31.8653
Argentina,Corrientes,Paso de los Libres,-57.0899,-29.7131
Argentina,La Pampa,Limay Mahuida,-66.6760,-37.1596
Argentina,Tucumán,Simoca,-65.3565,-27.2627
Argentina,Río Negro,Pilcaniyeu,-70.7291,-41.1188
Argentina,Buenos Aires,General Conesa,-57.3254,-36.5201
Argentina,Catamarca,Antofagasta de la Sierra,-67.4064,-26.0594
Argentina,Buenos Aires,Hurlingham,-58.6461,-34.5917
Argentina,Chaco,Charadai,-59.9000,-27.6333
Argentina,Córdoba,Villa Cura Brochero,-65.0180,-31.7058
Argentina,Chaco,Makallé,-59.2870,-27.2069
Argentina,Jujuy,Santa Clara,-64.6625,-24.3092
Argentina,Chaco,Colonia Elisa,-59.5186,-26.9304
Argentina,Chaco,San Bernardo,-60.7125,-27.2878
Argentina,La Pampa,Puelches,-65.9143,-38.1456
Argentina,Mendoza,La Consulta,-69.1218,-33.7358
Argentina,Catamarca,Ancasti,-65.5015,-28.8125
Argentina,Buenos Aires,Henderson,-61.7167,-36.3000
Argentina,Córdoba,Deán Funes,-64.3498,-30.4204
Argentina,San Juan,Rivadavia,-68.6525,-31.5539
Argentina,Salta,Rivadavia,-62.8902,-24.1883
Argentina,Buenos Aires,Ameghino,-62.4670,-34.8440
Argentina,La Pampa,Macachín,-63.6665,-37.1360
Argentina,Córdoba,Laboulaye,-63.3912,-34.1266
Argentina,Buenos Aires,Guernica,-58.3869,-34.9172
Argentina,Buenos Aires,Pila,-58.1439,-36.0006
